upper_bound,error_distance
17.84856,17.52033
16.98676,16.80252
16.16968,16.13030
15.39498,15.51251
14.66048,14.95848
13.96408,14.47768
13.30381,14.22507
12.67779,13.63220
12.08425,13.34588
11.52151,13.28802
10.98796,13.25995
10.48209,12.54474
10.00246,12.40974
9.54772,12.57586
9.11657,12.62895
8.70779,11.97589
8.32022,12.06782
7.95275,12.31855
7.60435,12.47465
7.27402,11.96637
6.96083,12.21726
6.66389,12.63201
6.38235,12.19745
6.11542,12.13156
5.86234,11.37649
5.62238,11.50402
5.39488,11.60317
5.17918,10.85737
4.97467,10.72375
4.78077,10.55934
4.59693,10.70532
4.42262,10.16431
4.25736,10.02965
4.10068,9.51847
3.95212,9.59248
3.81127,8.72625
3.67772,9.00853
3.55111,8.85561
3.43106,8.46489
3.31724,8.79155
3.20933,7.94863
3.10702,8.28332
3.01001,7.77880
2.91804,7.73226
2.83083,7.30972
2.74815,7.33462
2.66977,6.95087
2.59544,6.40463
2.52498,6.79489
2.45817,6.17108
2.39482,6.55076
2.33476,6.01639
2.27782,6.38180
2.22383,5.86138
2.17265,6.23696
2.12411,5.70967
2.07810,6.34200
2.03447,5.26951
1.99311,6.19352
1.95389,5.42292
1.91671,6.04594
1.88146,5.27562
1.84803,5.66211
1.81634,5.13201
1.78629,5.02958
1.75781,4.49606
1.73080,4.89043
1.70519,4.12727
1.68091,5.18988
1.65789,4.34227
1.63606,5.03951
1.61537,4.06369
1.59575,4.99391
1.57714,4.05174
1.55951,4.97717
1.54278,3.92147
1.52693,4.83245
1.51190,3.91260
1.49765,4.20674
1.48413,4.46684
1.47132,4.05836
1.45917,4.16179
1.44766,3.88292
1.43674,3.76689
1.42639,3.74709
1.41657,3.58860
1.40726,3.73731
1.39844,3.56897
1.39007,3.61824
1.38214,3.40190
1.37462,3.89444
1.36749,3.38426
1.36073,3.75403
1.35432,3.23184
1.34824,3.32464
1.34248,2.80458
1.33702,3.19163
1.33184,2.79096
1.32693,3.12789
1.32227,2.67218
1.31786,3.33573
1.31367,3.01117
1.30970,3.32042
1.30594,2.84386
1.30237,3.30684
1.29899,2.82932
1.29579,3.15836
1.29275,2.68284
1.28986,2.77189
1.28713,2.29891
1.28454,2.63418
1.28208,2.10043
1.27975,2.97631
1.27754,2.15841
1.27545,2.80821
1.27346,1.96110
1.27158,2.79362
1.26980,1.86967
1.26811,2.78037
1.26650,1.87026
1.26498,2.63849
1.26354,2.11526
1.26217,2.62902
1.26087,2.40876
1.25965,1.60525
1.25848,2.38675
1.25737,1.45128
1.25633,2.36614
1.25533,1.44403
1.25439,2.17828
1.25350,1.34749
1.25265,2.16146
1.25185,1.63628
1.25109,2.00381
1.25037,1.61860
1.24968,1.99205
1.24904,1.45862
1.24842,1.98245
1.24784,1.44788
1.24728,1.86907
1.24676,1.43972
1.24626,2.18116
1.24579,1.34229
1.24535,2.16374
1.24492,1.34325
1.24452,2.00446
1.24414,1.34720
1.24378,1.99207
1.24344,1.49236
1.24311,1.06340
1.24280,1.94739
1.24251,0.94778
1.24224,1.99683
1.24197,0.93582
1.24173,1.78435
1.24149,0.92820
1.24127,1.58691
1.24105,0.85182
1.24085,1.74553
1.24066,0.85918
1.24048,1.38105
1.24031,1.12555
1.24015,1.36671
1.24000,0.94803
1.23985,1.35528
1.23971,0.93419
1.23958,1.23303
1.23946,0.92418
1.23934,1.33988
1.23923,0.77889
1.23912,1.67102
1.23902,0.78368
